No_of_movies,       Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
127,                8119 Miles,2021,115,"Adventure, Drama, Mystery",5.4,5459,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
128,                '83,2021,150,"Biography, Drama, History",6.6,21,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasi
129,                88 Antop Hill,2003,119,"Mystery, Thriller",,40,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pilla
130,                9 O' Clock,2017,124,Action,4.7,66,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawa
131,                9 Roads 2 Peace,,,Adventure,5.3,9,Virendra Rathore,        -------,        -------,        ------
132,                9 to 12,2011,115,"Drama, Musical, Thriller",,40,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G
133,                ,2009,135,"Comedy, Crime, Drama",,40,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
134,                99 Songs,2019,128,"Musical, Romance",7.3,2767,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
135,                99.9 FM,2005,90,"Crime, Drama",7.4,1901,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
136,                A Ballad of Maladies,2016,86,"Documentary, Music",4.8,38,Sarvnik Kaur,Tushar Madhav,        -------,        -------
137,                A Ballad of Maladies,2016,86,"Documentary, History, Music",,40,Sarvnik Kaur,Tushar Madhav,        -------,        -------
138,                A Billion Colour Story,2016,105,Drama,,40,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
139,                A Biopic from the Film Industry,2019,,Drama,8.1,412,Sarkar Sahith,Suman Rana,Hari Vishnu,        -------
140,                A Call from the Past,2016,76,"Drama, Fantasy, Mystery",,40,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
141,                A Cold Plan,2021,,Thriller,,40,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
142,                A Daughter's Dream,2014,,"Drama, Family, Sport",,40,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
143,                A Daughter's Tale PANKH,2017,145,Drama,,40,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
144,                A Death in the Gunj,2016,110,"Drama, Thriller",6.3,10,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
145,                A Dream Document,2016,70,Documentary,7.5,4637,Rupak Das,        -------,        -------,        -------
146,                A Far Afternoon: a Painted Saga by Krishen Khanna,2015,72,"Documentary, Biography",,40,Sruti Harihara Subramanian,        -------,        -------,        -------
147,                A Film by Aravind,2005,150,"Horror, Mystery",7.7,10,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
148,                A Flat,2010,103,"Drama, Horror, Romance",6.8,179,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
149,                A Flying Jatt,2016,151,"Action, Adventure, Comedy",4.5,202,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
150,                A Game Called Relationship,2020,109,"Comedy, Romance",3,4145,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
151,                A Gentleman,2017,145,"Action, Comedy",6.3,181,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
152,                A Gift of Love: Sifar,2019,95,"Drama, Romance",6.2,5227,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
153,                A Handful of Grain,1959,92,Drama,8,33,Mehboob Khan,        -------,        -------,        -------
154,                A Journey of Samyak Buddha,2013,127,Drama,,40,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
155,                A Mermaid Called Aida,1996,52,Documentary,7.3,17,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,        -------
156,                A Mistake (Ek Galti),2021,,Thriller,6.4,7,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
157,                A New Love Ishtory,2013,140,Romance,,40,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
158,                A Night in Calcutta,1970,,Drama,6,80,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
159,                A Rape Song,2019,75,"Crime, Drama",,40,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,        -------
160,                A Rifle and a Bag,2020,89,Documentary,,40,Cristina Hanes,Isabella Rinaldi,Arya Rothe,        -------
161,                A Scandall,2016,112,Thriller,6.8,15,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
162,                A Separate Sky,2021,,Drama,3.1,142,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
163,                A Sketch Killer: Who's Next,1997,,Thriller,,40,Vinod Alva,Kalyan Kumar,Raghuvaran,        -------
164,                A Small Family,1976,,Documentary,,40,Fali Bilimoria,        -------,        -------,        -------
165,                A Song for No One,,,"Comedy, Drama, Music",,40,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,        -------
166,                A Story of a Call Girl,2000,,Thriller,,40,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
167,                A Strange Love Story,2011,,Drama,,40,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
168,                A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
169,                A Suitable Girl,2017,90,Documentary,3.8,627,Sarita Khurana,Smriti Mundhra,Sima Taparia,        -------
170,                A Thin Line,2019,104,Drama,6.9,337,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
171,                A Thursday,2021,,"Drama, Thriller",7.9,24,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
172,                A Treasure in the Snow,2002,,Documentary,,40,Goutam Ghose,        -------,        -------,        -------
173,                A Twist of Date,2017,110,"Comedy, Horror, Mystery",6.9,8,Kashmera Shah,Kashmera Shah,        -------,        -------
174,                A Wednesday,2008,104,"Action, Crime, Drama",,40,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
175,                A.R Rahman Encore Tour,2017,,Musical,8.1,75118,Deepak Gattani,A.R. Rahman,        -------,        -------
176,                Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",,40,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
177,                AA BB KK,2018,121,Drama,5.5,1621,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
178,                Aa Bhi Ja O Piya,2021,140,"Family, Romance",8,249,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
179,                Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",,40,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
180,                Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",5,866,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
181,                Aa Gale Lag Jaa,1994,158,"Mystery, Romance",7.2,348,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
182,                Aa Gaya Hero,2017,123,Action,4.4,115,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
183,                Aa Jao Please,2016,120,Drama,2.7,339,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
184,                Aaag Hi Aag,1999,,Action,6.8,16,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
185,                Aabra Ka Daabra,2004,144,Fantasy,4.9,28,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
186,                Aabroo,1956,,Romance,2.4,264,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
187,                Aabroo,1968,170,"Comedy, Crime, Drama",,40,C.L. Rawal,Ashok Kumar,Vimi,Rehman
188,                Aabroo,1943,,        -------,5.5,21,Nazir,        -------,        -------,        -------
189,                Aabshar,1953,,"Drama, Romance",5.2,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
190,                Aadab Arz,1943,,        -------,5,5,V.C. Desai,Nalini Jaywant,Mukesh,        -------
191,                Aadab Hyderabad,2007,104,        -------,5.2,5,Sanjay Punjabi,        -------,        -------,        -------
192,                Aadamkhor,1986,,Action,,0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
193,                Aadamkhor,2018,72,Horror,5.5,6,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
194,                Aadamkhor Hasina,2002,,Action,7.4,150,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
195,                Aadarniy Pitaji,2020,,Family,,40,Prashant Kumar,        -------,        -------,        -------
196,                Aadarsh,1983,,Drama,,40,        -------,        -------,        -------,        -------
197,                Aadat,1989,,        -------,,40,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
198,                Aadat Se Majboor,1982,105,"Action, Crime, Drama",,40,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
199,                Aadha Din Aadhee Raat,1977,132,Action,5.5,28,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
200,                Aadhaar,2019,107,Drama,5.1,18,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
201,                Aadhaar,2004,,Drama,7.6,69,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
202,                Aadharshila,1982,154,Drama,,40,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
203,                Aadhe Adhure,1996,,Drama,6.4,19,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
204,                Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",,0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
205,"                ""    """"Aadhi Haqeeqat""",,1990,        -------,5.4,568,        -------,Dilip Ghosh,        -------,        -------
206,                Aadhi Mimansa,1991,,        -------,,40,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
207,                Aadhi Raat,1957,,        -------,6.2,9,Chandrakant,        -------,        -------,        -------
208,                Aadhi Raat,1950,115,"Drama, Romance",,40,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
209,                Aadhi Raat,1999,,Horror,6.7,9,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
210,                Aadhi Roti,1957,,Drama,,40,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
211,                Aadhi Zindagi Aadhi Maut,1986,,Thriller,,40,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
212,                Aadi Shakti,1992,,Action,,40,Govind Singh,Raza Murad,Yunus Parvez,        -------
213,                Aadmi,1968,175,"Drama, Romance",,40,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
214,                Aadmi,1993,153,"Action, Crime, Drama",6.8,196,Arshad Khan,Ajit,Vikas Anand,Arjun
